"Name","S.B","H.B","B.D","T.B","Pf","XB","E","X50"
"Mr1",1.2,6,32.89,0.8,0.49,1.67,32,0.17
"Mr2",1.2,6,32.89,0.8,0.51,1.67,32,0.17
"Mr3",1.2,6,32.89,0.8,0.49,1.67,32,0.13
"Mr4",1.2,6,32.89,0.8,0.52,1.67,32,0.17
"Mr5",1.2,6,32.89,0.8,0.42,1.67,32,0.13
"Mr6",1.4,6,32.89,0.8,0.36,1.67,32,0.15
"Mr7",1.2,6,32.89,0.6,0.56,1.03,32,0.18
"Mr8",1.4,6,32.89,0.6,0.3,1.03,32,0.19
"Mr9",1.4,6,32.89,0.6,0.35,1.03,32,0.16
"Mr10",1.16,5,39.47,0.5,0.39,1.03,32,0.17
"Mr11",1.16,5,39.47,0.5,0.32,1.03,32,0.21
"Db1",1.25,3.5,20,1.75,0.73,1,9.57,0.44
"Db2",1.25,5.1,20,1.75,0.7,1,9.57,0.76
"Db3",1.38,3,20,1.75,0.62,1,9.57,0.35
"Db4",1.5,5.5,20,1.75,0.56,1,9.57,0.55
"Db5",1.75,4.75,20,1.75,0.39,1,9.57,0.35
"Db6",1.25,4.75,20,1.75,0.33,1,9.57,0.23
"Db7",1.25,5,20,1.75,0.44,1,9.57,0.4
"Db8",1.2,2.4,25,1.4,0.28,0.5,9.57,0.35
"Db9",1.4,3.2,25,1.4,0.31,0.5,9.57,0.29
"Mi1",1,2.5,22.22,1.69,0.71,0.17,10,0.1
"Mi2",1,1.67,33.33,0.72,0.46,0.1,10,0.09
"Mi3",1,1.67,33.33,1.25,0.27,0.1,10,0.09
"Mi4",1,1.67,33.33,0.7,0.47,0.1,10,0.08
"Mi5",1,1.67,33.33,1.28,0.26,0.1,10,0.1
"Mi6",1,2.5,22.22,1.69,0.71,0.02,10,0.02
"Sm1",1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.15
"Sm2",1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.19
"Sm3",1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.23
"Sm4",1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.22
"Sm5",1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.24
"Sm6",1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.26
"Sm7",1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.28
"Ad1",1.2,4.4,28.09,1.2,0.58,0.77,16.9,0.15
"Ad2",1.2,4.8,28.09,1.2,0.66,0.56,16.9,0.17
"Ad3",1.2,4.8,28.09,1.2,0.72,0.29,16.9,0.14
"Ad4",1.2,4,28.09,1.6,0.49,0.81,16.9,0.16
"Ad5",1.14,6.82,24.72,1.36,0.84,1.43,16.9,0.21
"Ad6",1.14,6.36,24.72,1.36,0.82,1.77,16.9,0.21
"Ad7",1.25,3.5,22.47,1.25,0.75,1.03,16.9,0.15
"Ad8",1.25,3.25,22.47,1.25,0.71,0.83,16.9,0.19
"Ad9",1.25,3.5,22.47,1.25,0.76,1.68,16.9,0.18
"Ad10",1.25,3.5,22.47,1.25,0.76,1.24,16.9,0.15
"Ad11",1.14,3.18,24.72,1.14,0.69,0.67,16.9,0.14
"Ad12",1.14,3.18,24.72,1.14,0.69,2.01,16.9,0.2
"Ad13",1.12,2.8,28.09,1,0.54,0.96,16.9,0.15
"Ad14",1,2.4,28.09,1,0.56,0.83,16.9,0.14
"Ad15",1.1,3.75,21.74,1,1.02,1.64,16.9,0.15
"Ad16",1.1,3.5,22.47,1.25,0.86,2.35,16.9,0.15
"Ad17",1.25,3.75,17.98,1.56,1.24,1.53,16.9,0.19
"Ad18",1,4,18.42,1.71,1.26,0.73,16.9,0.15
"Ad19",1,4,18.42,1.71,1.26,1.47,16.9,0.17
"Ad20",1.14,4,18.42,1.71,1.1,1.19,16.9,0.19
"Ad21",1.11,4.44,18.95,1.67,1.25,1.71,16.9,0.22
"Ad22",1.28,3.61,18.95,1.67,0.89,0.56,16.9,0.2
"Oz1",1,2.83,33.71,1,0.48,0.45,15,0.27
"Mr12",1.25,6.25,31.58,0.63,0.48,1.03,32,0.2
"Db10",1.15,4.35,20,1.75,0.89,1,9.57,0.35
"Mi7",1,1.67,33.33,0.7,0.47,0.09,10,0.08
"Sm8",1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.18
"Oz8",1.2,2.4,28.09,1,0.53,0.82,15,0.23
"Oz9",1.11,3.33,30.34,1.11,0.47,0.54,15,0.17
"Ad23",1.11,4.44,18.95,1.67,1.25,1.63,16.9,0.21
"Ad24",1.28,3.61,18.95,1.67,0.89,0.61,16.9,0.2
"Ad25",1.2,2.8,28.09,1,0.5,1.49,16.9,0.17
