S/B;H/B;B/D;T/B;Pf;XB;E;x50
1.24;1.33;27.27;0.78;0.48;0.58;60.00;0.37
1.24;1.33;27.27;0.78;0.48;0.58;60.00;0.37
1.24;1.33;27.27;0.78;0.48;1.08;60.00;0.33
1.24;1.33;27.27;0.78;0.48;1.11;60.00;0.42
1.24;1.33;27.27;0.78;0.48;1.08;60.00;0.46
1.24;1.33;27.27;1.17;0.27;1.08;60.00;0.37
1.24;1.33;27.27;1.06;0.33;1.08;60.00;0.64
1.24;1.33;27.27;0.91;0.41;1.11;60.00;0.42
1.24;1.33;27.27;0.91;0.41;1.11;60.00;0.26
1.24;1.33;27.27;0.99;0.36;1.08;60.00;0.42
1.24;1.33;27.27;1.06;0.33;1.11;60.00;0.31
1.24;1.33;27.27;1.06;0.33;1.11;60.00;0.38
1.17;1.50;26.20;1.08;0.33;0.68;45.00;0.46
1.17;1.50;26.20;1.12;0.30;0.68;45.00;0.48
1.17;1.58;26.20;1.22;0.28;0.68;45.00;0.48
1.17;1.96;26.20;1.30;0.34;1.56;45.00;0.75
1.17;1.75;26.20;1.31;0.29;1.56;45.00;0.96
1.17;1.75;26.20;1.16;0.36;1.56;45.00;0.76
1.17;1.67;26.20;1.22;0.31;1.80;45.00;0.53
1.17;1.83;26.20;1.34;0.30;1.80;45.00;0.56
1.17;1.83;26.20;1.29;0.32;1.80;45.00;0.74
1.17;1.83;26.20;1.23;0.35;1.80;45.00;0.44
1.00;2.67;27.27;0.89;0.75;0.83;50.00;0.23
1.00;2.67;27.27;0.89;0.75;0.78;50.00;0.25
1.00;2.40;30.30;0.80;0.61;1.02;50.00;0.27
1.00;2.40;30.30;0.80;0.61;0.75;50.00;0.30
1.10;2.40;30.30;0.80;0.55;1.18;50.00;0.38
1.10;2.40;30.30;0.80;0.55;1.24;50.00;0.37
1.10;2.40;30.30;0.80;0.55;1.33;50.00;0.38
1.13;5.00;39.47;1.93;0.31;2.00;45.00;0.64
1.20;6.00;32.89;3.67;0.30;2.00;45.00;0.54
1.20;6.00;32.89;3.70;0.30;2.00;45.00;0.51
1.20;6.00;32.89;4.67;0.22;2.00;45.00;0.64
1.20;6.00;32.89;3.11;0.35;2.00;45.00;0.54
1.20;6.00;32.89;3.22;0.34;2.00;45.00;0.69
1.20;6.00;32.89;0.80;0.49;1.67;32.00;0.17
1.20;6.00;32.89;0.80;0.51;1.67;32.00;0.17
1.20;6.00;32.89;0.80;0.49;1.67;32.00;0.13
1.20;6.00;32.89;0.80;0.52;1.67;32.00;0.17
1.20;6.00;32.89;0.80;0.42;1.67;32.00;0.13
1.40;6.00;32.89;0.80;0.36;1.67;32.00;0.15
1.20;6.00;32.89;0.60;0.56;1.03;32.00;0.18
1.40;6.00;32.89;0.60;0.30;1.03;32.00;0.19
1.40;6.00;32.89;0.60;0.35;1.03;32.00;0.16
1.16;5.00;39.47;0.50;0.39;1.03;32.00;0.17
1.16;5.00;39.47;0.50;0.32;1.03;32.00;0.21
1.25;3.50;20.00;1.75;0.73;1.00;9.57;0.44
1.25;5.10;20.00;1.75;0.70;1.00;9.57;0.76
1.38;3.00;20.00;1.75;0.62;1.00;9.57;0.35
1.50;5.50;20.00;1.75;0.56;1.00;9.57;0.55
1.75;4.75;20.00;1.75;0.39;1.00;9.57;0.35
1.25;4.75;20.00;1.75;0.33;1.00;9.57;0.23
1.25;5.00;20.00;1.75;0.44;1.00;9.57;0.40
1.20;2.40;25.00;1.40;0.28;0.50;9.57;0.35
1.40;3.20;25.00;1.40;0.31;0.50;9.57;0.29
1.00;2.50;22.22;1.69;0.71;0.17;10.00;0.10
1.00;1.67;33.33;0.72;0.46;0.10;10.00;0.09
1.00;1.67;33.33;1.25;0.27;0.10;10.00;0.09
1.00;1.67;33.33;0.70;0.47;0.10;10.00;0.08
1.00;1.67;33.33;1.28;0.26;0.10;10.00;0.10
1.00;2.50;22.22;1.69;0.71;0.02;10.00;0.02
1.25;2.50;28.57;0.83;0.42;0.50;13.25;0.15
1.25;2.50;28.57;0.83;0.42;0.50;13.25;0.19
1.25;2.50;28.57;0.83;0.42;0.50;13.25;0.23
1.25;2.50;28.57;0.83;0.42;1.50;13.25;0.22
1.25;2.50;28.57;0.83;0.42;1.50;13.25;0.24
1.25;2.50;28.57;0.83;0.42;1.50;13.25;0.26
1.25;2.50;28.57;0.83;0.42;1.50;13.25;0.28
1.20;4.40;28.09;1.20;0.58;0.77;16.90;0.15
1.20;4.80;28.09;1.20;0.66;0.56;16.90;0.17
1.20;4.80;28.09;1.20;0.72;0.29;16.90;0.14
1.20;4.00;28.09;1.60;0.49;0.81;16.90;0.16
1.14;6.82;24.72;1.36;0.84;1.43;16.90;0.21
1.14;6.36;24.72;1.36;0.82;1.77;16.90;0.21
1.25;3.50;22.47;1.25;0.75;1.03;16.90;0.15
1.25;3.25;22.47;1.25;0.71;0.83;16.90;0.19
1.25;3.50;22.47;1.25;0.76;1.68;16.90;0.18
1.25;3.50;22.47;1.25;0.76;1.24;16.90;0.15
1.14;3.18;24.72;1.14;0.69;0.67;16.90;0.14
1.14;3.18;24.72;1.14;0.69;2.01;16.90;0.20
1.12;2.80;28.09;1.00;0.54;0.96;16.90;0.15
1.00;2.40;28.09;1.00;0.56;0.83;16.90;0.14
1.10;3.75;21.74;1.00;1.02;1.64;16.90;0.15
1.10;3.50;22.47;1.25;0.86;2.35;16.90;0.15
1.25;3.75;17.98;1.56;1.24;1.53;16.90;0.19
1.00;4.00;18.42;1.71;1.26;0.73;16.90;0.15
1.00;4.00;18.42;1.71;1.26;1.47;16.90;0.17
1.14;4.00;18.42;1.71;1.10;1.19;16.90;0.19
1.11;4.44;18.95;1.67;1.25;1.71;16.90;0.22
1.28;3.61;18.95;1.67;0.89;0.56;16.90;0.20
1.00;2.83;33.71;1.00;0.48;0.45;15.00;0.27
1.20;2.40;28.09;1.00;0.53;0.86;15.00;0.14
1.20;2.40;28.09;1.00;0.53;0.44;15.00;0.14
1.25;4.50;22.47;1.50;0.76;0.66;15.00;0.20
1.11;3.33;30.34;1.11;0.47;0.47;15.00;0.17
1.20;3.20;28.09;1.20;0.48;1.11;15.00;0.30
1.20;2.40;28.09;1.00;0.53;0.88;15.00;0.12
